beta  ances 
0.414 0.392
0.417 0.383
0.412 0.381
0.413 0.377
0.415 0.374
0.413 0.375
0.411 0.373
0.410 0.373
0.409 0.373
0.408 0.375
0.409 0.375
0.408 0.376
0.408 0.376
0.407 0.376
0.408 0.376
0.408 0.376
0.408 0.376
0.408 0.377
0.408 0.378
0.408 0.377
0.408 0.376
0.408 0.376
0.407 0.376
0.407 0.376
0.407 0.376
0.406 0.376
0.405 0.376
0.406 0.377
0.406 0.378
0.406 0.378
0.406 0.378
0.406 0.378
0.406 0.378
0.406 0.379
0.407 0.379
0.407 0.379
0.407 0.379
0.407 0.379
0.407 0.379
0.407 0.379
0.406 0.379
0.407 0.378
0.407 0.379
0.407 0.378
0.407 0.378
0.406 0.378
0.407 0.378
0.407 0.378
0.406 0.378
