beta  ances 
0.219 0.375
0.221 0.379
0.223 0.381
0.224 0.380
0.222 0.383
0.222 0.383
0.222 0.384
0.221 0.383
0.222 0.382
0.221 0.384
0.221 0.384
0.222 0.384
0.222 0.385
0.222 0.386
0.221 0.385
0.222 0.385
0.222 0.385
0.221 0.385
0.222 0.385
0.221 0.385
0.221 0.385
0.222 0.385
0.222 0.386
0.221 0.385
0.221 0.386
0.221 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.220 0.385
0.219 0.385
0.220 0.385
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.386
0.220 0.387
0.220 0.387
0.220 0.387
0.220 0.387
0.220 0.387
