beta  ances 
0.215 0.226
0.222 0.239
0.225 0.238
0.228 0.237
0.225 0.238
0.224 0.239
0.224 0.239
0.223 0.237
0.221 0.238
0.221 0.237
0.220 0.236
0.219 0.236
0.219 0.235
0.219 0.236
0.219 0.235
0.219 0.236
0.219 0.235
0.219 0.236
0.219 0.236
0.220 0.236
0.220 0.235
0.220 0.235
0.219 0.235
0.219 0.235
0.219 0.234
0.219 0.235
0.219 0.235
0.219 0.235
0.219 0.235
0.219 0.235
0.219 0.236
0.219 0.235
0.219 0.235
0.219 0.236
0.218 0.236
0.218 0.235
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.236
0.218 0.237
0.219 0.237
