beta  ances 
0.201 0.247
0.202 0.250
0.205 0.256
0.201 0.255
0.201 0.257
0.199 0.257
0.200 0.259
0.200 0.257
0.200 0.257
0.199 0.258
0.198 0.259
0.198 0.257
0.198 0.257
0.197 0.256
0.197 0.257
0.197 0.256
0.197 0.257
0.197 0.257
0.197 0.257
0.197 0.256
0.198 0.257
0.198 0.257
0.197 0.257
0.197 0.257
0.197 0.257
0.197 0.256
0.197 0.256
0.197 0.256
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.197 0.255
0.196 0.256
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.255
0.196 0.254
0.196 0.254
