beta  ances 
0.227 0.236
0.223 0.237
0.224 0.236
0.221 0.236
0.220 0.235
0.221 0.237
0.220 0.238
0.220 0.236
0.220 0.236
0.219 0.235
0.219 0.235
0.219 0.234
0.220 0.234
0.221 0.232
0.221 0.232
0.221 0.232
0.221 0.231
0.221 0.232
0.220 0.232
0.219 0.232
0.220 0.232
0.219 0.232
0.220 0.231
0.220 0.231
0.220 0.231
0.220 0.231
0.220 0.231
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.221 0.232
0.221 0.232
0.221 0.232
0.221 0.232
0.221 0.232
0.221 0.232
0.220 0.232
0.220 0.232
0.220 0.232
0.220 0.232
