beta  ances 
0.257 0.344
0.252 0.353
0.267 0.349
0.269 0.347
0.269 0.348
0.269 0.345
0.271 0.346
0.272 0.346
0.271 0.347
0.271 0.348
0.270 0.348
0.270 0.348
0.270 0.349
0.269 0.349
0.270 0.350
0.270 0.350
0.270 0.350
0.268 0.350
0.269 0.350
0.269 0.351
0.269 0.352
0.269 0.352
0.269 0.351
0.269 0.352
0.268 0.353
0.268 0.353
0.267 0.353
0.267 0.353
0.267 0.352
0.267 0.352
0.267 0.353
0.267 0.353
0.267 0.354
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.268 0.353
0.268 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
0.267 0.353
